episode,category,puzzle_front,puzzle_back
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Percy Bysshe Shelley poems,THT RMP HFLF,THE TRIUMPH OF LIFE
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Percy Bysshe Shelley poems,PP SY CHDN,EPIPSYCHIDION
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Percy Bysshe Shelley poems,DNS,ADONAIS
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Nursery rhymes,NT WBC KLM YS H,"ONE, TWO, BUCKLE MY SHOE"
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Nursery rhymes,L DKN GCL,OLD KING COLE
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Nursery rhymes,PPGST HWS L,POP GOES THE WEASEL
https://ocdb.cc/episode/county-councillors-v-science-writers/,Star constellations,ND RMD,ANDROMEDA
https://ocdb.cc/episode/county-councillors-v-science-writers/,Star constellations,RD NS,ERIDANUS
https://ocdb.cc/episode/county-councillors-v-science-writers/,Star constellations,R SMN R,URSA MINOR
https://ocdb.cc/episode/county-councillors-v-science-writers/,Star constellations,RN,ORION
https://ocdb.cc/episode/county-councillors-v-science-writers/,Gospel quotations,MT HB RDFLF,I AM THE BREAD OF LIFE
https://ocdb.cc/episode/county-councillors-v-science-writers/,Gospel quotations,HTH TSNTWT HMSG NS TM,HE THAT IS NOT WITH ME IS AGAINST ME
https://ocdb.cc/episode/county-councillors-v-science-writers/,Gospel quotations,MT HRSR RC TNN DT HLF,I AM THE RESURRECTION AND THE LIFE
https://ocdb.cc/episode/county-councillors-v-science-writers/,Gospel quotations,MNS HL LNTL VB YB RDLN,MAN SHALL NOT LIVE BY BREAD ALONE
https://ocdb.cc/episode/county-councillors-v-science-writers/,Restoration comedies,T HCN TR YWF,THE COUNTRY WIFE
https://ocdb.cc/episode/county-councillors-v-science-writers/,Restoration comedies,LVFRLV,LOVE FOR LOVE
https://ocdb.cc/episode/county-councillors-v-science-writers/,Restoration comedies,T HWYFT HWR LD,THE WAY OF THE WORLD
https://ocdb.cc/episode/county-councillors-v-science-writers/,Restoration comedies,THM NFMD,THM NFMD
https://ocdb.cc/episode/county-councillors-v-science-writers/,Poker terms,DL RBT TN,DEALER BUTTON
https://ocdb.cc/episode/county-councillors-v-science-writers/,Tiebreaker,TTH VC TRT HSPL S,"TO THE VICTOR, THE SPOILS"
https://ocdb.cc/episode/crossworders-v-edinburgh-scrabblers/,Musicals by Stephen Sondheim,SSS SNS,ASSASSINS
https://ocdb.cc/episode/crossworders-v-edinburgh-scrabblers/,Musicals by Stephen Sondheim,N YNCNW HS TL,ANYONE CAN WHISTLE
https://ocdb.cc/episode/crossworders-v-edinburgh-scrabblers/,Musicals by Stephen Sondheim,NTT HWD S,INTO THE WOODS
https://ocdb.cc/episode/crossworders-v-edinburgh-scrabblers/,Musicals by Stephen Sondheim,LT TLNG HTM SC,A LITTLE NIGHT MUSIC
https://ocdb.cc/episode/crossworders-v-edinburgh-scrabblers/,Fencing terms,RT RT,RETREAT
https://ocdb.cc/episode/crossworders-v-edinburgh-scrabblers/,Fencing terms,CL,COULÉ
https://ocdb.cc/episode/crossworders-v-edinburgh-scrabblers/,Fencing terms,CN TRR PS T,COUNTER-RIPOSTE
https://ocdb.cc/episode/crossworders-v-edinburgh-scrabblers/,Fencing terms,RMS,REMISE
https://ocdb.cc/episode/crossworders-v-edinburgh-scrabblers/,Geometric figures,S CLNT RN GL,SCALENE TRIANGLE
https://ocdb.cc/episode/crossworders-v-edinburgh-scrabblers/,Geometric figures,C THD RN,OCTOHEDRON
https://ocdb.cc/episode/crossworders-v-edinburgh-scrabblers/,Geometric figures,SMCR CL,SEMICIRCLE
https://ocdb.cc/episode/crossworders-v-edinburgh-scrabblers/,Geometric figures,PRL LLP PD,PARALLELEPIPED
https://ocdb.cc/episode/crossworders-v-edinburgh-scrabblers/,Philanthropists,LF RDNBL,ALFRED NOBEL
https://ocdb.cc/episode/crossworders-v-edinburgh-scrabblers/,Philanthropists,GR GSRS,GEORGE SOROS
https://ocdb.cc/episode/crossworders-v-edinburgh-scrabblers/,Philanthropists,WL LMWL BRF RC,WILLIAM WILBERFORCE
https://ocdb.cc/episode/bankers-v-it-supporters/,People who were beheaded,NNB LYN,ANNE BOLEYN
https://ocdb.cc/episode/bankers-v-it-supporters/,People who were beheaded,MRN TNTT,MARIE ANTOINETTE
https://ocdb.cc/episode/bankers-v-it-supporters/,People who were beheaded,SRT HMSMR,SIR THOMAS MORE
https://ocdb.cc/episode/bankers-v-it-supporters/,People who were beheaded,DWR DP LN TGNT,EDWARD PLANTAGENET
https://ocdb.cc/episode/bankers-v-it-supporters/,John Donne quotations,FRW HMT HBL LTL LS,FOR WHOM THE BELL TOLLS
https://ocdb.cc/episode/bankers-v-it-supporters/,John Donne quotations,NMNSNS LN DN TRFTSLF,"NO MAN IS AN ISLAND, ENTIRE OF ITSELF"
https://ocdb.cc/episode/bankers-v-it-supporters/,John Donne quotations,JH NDN NNNDNNNDN,"JOHN DONNE, ANNE DONNE, UNDONE"
https://ocdb.cc/episode/bankers-v-it-supporters/,Glacial geography,R RTC,ERRATIC
https://ocdb.cc/episode/bankers-v-it-supporters/,Glacial geography,MD LMR N,MEDIAL MORAINE
https://ocdb.cc/episode/bankers-v-it-supporters/,Tiebreaker,VNV DVC,"VENI, VIDI, VICI"
https://ocdb.cc/episode/lapsed-psychologists-v-country-walkers/,PG Wodehouse characters,BR TWS TR,BERTIE WOOSTER
https://ocdb.cc/episode/lapsed-psychologists-v-country-walkers/,PG Wodehouse characters,LR DM SWR TH,LORD EMSWORTH
https://ocdb.cc/episode/lapsed-psychologists-v-country-walkers/,PG Wodehouse characters,GLH DT HRP WD,GALAHAD THREEPWOOD
https://ocdb.cc/episode/lapsed-psychologists-v-country-walkers/,PG Wodehouse characters,N TGT H,AUNT AGATHA
https://ocdb.cc/episode/lapsed-psychologists-v-country-walkers/,Pilgrimage sites,NG KRWT,ANGKOR WAT
https://ocdb.cc/episode/lapsed-psychologists-v-country-walkers/,Pilgrimage sites,VR NS,VARANASI
https://ocdb.cc/episode/lapsed-psychologists-v-country-walkers/,Pilgrimage sites,FTM,FATIMA
https://ocdb.cc/episode/lapsed-psychologists-v-country-walkers/,Pilgrimage sites,SSS,ASSISI
https://ocdb.cc/episode/lapsed-psychologists-v-country-walkers/,Cole Porter songs,BG NTHB GN,BEGIN THE BEGUINE
https://ocdb.cc/episode/lapsed-psychologists-v-country-walkers/,Cole Porter songs,TDR NHT,TOO DARN HOT
https://ocdb.cc/episode/lapsed-psychologists-v-country-walkers/,Cole Porter songs,LT SDT,LET&#039;S DO IT
https://ocdb.cc/episode/lapsed-psychologists-v-country-walkers/,Cole Porter songs,VG TYN DRM YS KN,I&#039;VE GOT YOU UNDER MY SKIN
https://ocdb.cc/episode/lapsed-psychologists-v-country-walkers/,Terms in calculus,B SLTCN VR GNC,ABSOLUTE CONVERGENCE
https://ocdb.cc/episode/crossworders-v-science-writers/,Garden designers,LN CLTC PBLT YB RWN,LANCELOT &quot;CAPABILITY&quot; BROWN
https://ocdb.cc/episode/crossworders-v-science-writers/,Garden designers,VTSC KVL LWST,VITA SACKVILLE-WEST
https://ocdb.cc/episode/crossworders-v-science-writers/,Garden designers,NHML TNFN LY,IAN HAMILTON FINLAY
https://ocdb.cc/episode/crossworders-v-science-writers/,Garden designers,GF FR YJL LC,GEOFFREY JELLICOE
https://ocdb.cc/episode/crossworders-v-science-writers/,Religious texts,MH BHRT,MAHABHARATA
https://ocdb.cc/episode/crossworders-v-science-writers/,Religious texts,PR LFG RTP RC,PEARL OF GREAT PRICE
https://ocdb.cc/episode/crossworders-v-science-writers/,Religious texts,TL MD,TALMUD
https://ocdb.cc/episode/crossworders-v-science-writers/,Religious texts,DMN DST R,DIAMOND SUTRA
https://ocdb.cc/episode/crossworders-v-science-writers/,Photographic terms,PR TRP RRTY,APERTURE PRIORITY
https://ocdb.cc/episode/crossworders-v-science-writers/,Photographic terms,LTN TMG,LATENT IMAGE
https://ocdb.cc/episode/bankers-v-lapsed-psychologists/,Impressionist painters,DR DM NT,EDOUARD MANET
https://ocdb.cc/episode/bankers-v-lapsed-psychologists/,Impressionist painters,GNB DN,EUGENE BOUDIN
https://ocdb.cc/episode/bankers-v-lapsed-psychologists/,Impressionist painters,PR RGS TRNR,PIERRE-AUGUSTE RENOIR
https://ocdb.cc/episode/bankers-v-lapsed-psychologists/,Impressionist painters,T HD RRBN SN,THEODORE ROBINSON
https://ocdb.cc/episode/bankers-v-lapsed-psychologists/,Space exploration terms,P HLN,APHELION
https://ocdb.cc/episode/bankers-v-lapsed-psychologists/,Space exploration terms,LCT RCP RPL SN,ELECTRIC PROPULSION
https://ocdb.cc/episode/bankers-v-lapsed-psychologists/,Space exploration terms,NR TLG DNC,INERTIAL GUIDANCE
https://ocdb.cc/episode/bankers-v-lapsed-psychologists/,Space exploration terms,CRL SF FCT,CORIOLIS EFFECT
https://ocdb.cc/episode/bankers-v-lapsed-psychologists/,Medieval church architecture,RDS CRN,ROOD SCREEN
https://ocdb.cc/episode/bankers-v-lapsed-psychologists/,Medieval church architecture,T RFR M,TRIFORIUM
https://ocdb.cc/episode/bankers-v-lapsed-psychologists/,Medieval church architecture,RR DS,REREDOS
https://ocdb.cc/episode/bankers-v-lapsed-psychologists/,Medieval church architecture,MS RCR D,MISERICORD
https://ocdb.cc/episode/crossworders-v-lapsed-psychologists/,Equestrian terms,CP RL,CAPRIOLE
https://ocdb.cc/episode/crossworders-v-lapsed-psychologists/,Equestrian terms,PS SNC,PUISSANCE
https://ocdb.cc/episode/crossworders-v-lapsed-psychologists/,Equestrian terms,HT CL,HAUTE ECOLE
https://ocdb.cc/episode/crossworders-v-lapsed-psychologists/,Equestrian terms,PRT T,PIROUETTE
https://ocdb.cc/episode/crossworders-v-lapsed-psychologists/,Computer pioneers,GR GBL,GEORGE BOOLE
https://ocdb.cc/episode/crossworders-v-lapsed-psychologists/,Computer pioneers,DLV LC,ADA LOVELACE
https://ocdb.cc/episode/crossworders-v-lapsed-psychologists/,Computer pioneers,LN STR VLDS,LINUS TORVALDS
https://ocdb.cc/episode/crossworders-v-lapsed-psychologists/,Computer pioneers,PLL LN,PAUL ALLEN
https://ocdb.cc/episode/crossworders-v-lapsed-psychologists/,Lord Byron quotations,T HWKL NRP NT,THE WEAK ALONE REPENT
https://ocdb.cc/episode/crossworders-v-lapsed-psychologists/,Lord Byron quotations,THMN YS TL LMS TLB RFRT HN,THE MANY STILL MUST LABOUR FOR THE ONE
https://ocdb.cc/episode/crossworders-v-lapsed-psychologists/,Lord Byron quotations,WT HJS TNG HFLR NNGTM SQT,WITH JUST ENOUGH OF LEARNING TO MISQUOTE
https://ocdb.cc/episode/crossworders-v-lapsed-psychologists/,Lord Byron quotations,SWL LGNM RR VNG,SO WE&#039;LL GO NO MORE A-ROVING
https://ocdb.cc/episode/crossworders-v-lapsed-psychologists/,Map projections,MR CTR,MERCATOR
https://ocdb.cc/episode/crossworders-v-lapsed-psychologists/,Map projections,SNSDL,SINUSOIDAL
https://ocdb.cc/episode/crossworders-v-lapsed-psychologists/,Map projections,ZM THL,AZIMUTHAL
https://ocdb.cc/episode/crossworders-v-lapsed-psychologists/,Map projections,RT HG RP HC,ORTHOGRAPHIC
https://ocdb.cc/episode/crossworders-v-lapsed-psychologists/,Poems by Yeats,SLN GTB YZN TM,SAILING TO BYZANTIUM
https://ocdb.cc/episode/cambridge-quiz-society-v-oxford-librarians/,Parliaments and legislatures,C RTS,CORTES
https://ocdb.cc/episode/cambridge-quiz-society-v-oxford-librarians/,Parliaments and legislatures,DT,DIET
https://ocdb.cc/episode/cambridge-quiz-society-v-oxford-librarians/,Parliaments and legislatures,STT SFJ RSY,STATES OF JERSEY
https://ocdb.cc/episode/cambridge-quiz-society-v-oxford-librarians/,Parliaments and legislatures,RC HTS,OIREACHTAS
https://ocdb.cc/episode/cambridge-quiz-society-v-oxford-librarians/,Roald Dahl books,C HR LN DT HG RTG LS SLVTR,CHARLIE AND THE GREAT GLASS ELEVATOR
https://ocdb.cc/episode/cambridge-quiz-society-v-oxford-librarians/,Roald Dahl books,JM SNDT HGN TPCH,JAMES AND THE GIANT PEACH
https://ocdb.cc/episode/cambridge-quiz-society-v-oxford-librarians/,Roald Dahl books,THN RMSCR CDL,THE ENORMOUS CROCODILE
https://ocdb.cc/episode/cambridge-quiz-society-v-oxford-librarians/,Roald Dahl books,MTL D,MATILDA
https://ocdb.cc/episode/cambridge-quiz-society-v-oxford-librarians/,Computer hardware,CNT RLP RCS SNGNT,CENTRAL PROCESSING UNIT
https://ocdb.cc/episode/cambridge-quiz-society-v-oxford-librarians/,Computer hardware,NVR SLS RLBS,UNIVERSAL SERIAL BUS
https://ocdb.cc/episode/cambridge-quiz-society-v-oxford-librarians/,Computer hardware,N TG RTDCR CT,INTEGRATED CIRCUIT
https://ocdb.cc/episode/cambridge-quiz-society-v-oxford-librarians/,Computer hardware,RN DMC CS SMM RY,RANDOM ACCESS MEMORY
https://ocdb.cc/episode/cambridge-quiz-society-v-oxford-librarians/,Expressions beginning &#039;O____ C____&#039;,PRC M PNY,OPERA COMPANY
https://ocdb.cc/episode/cambridge-quiz-society-v-oxford-librarians/,Expressions beginning &#039;O____ C____&#039;,RG NCCMP ND,ORGANIC COMPOUND
https://ocdb.cc/episode/cambridge-quiz-society-v-oxford-librarians/,Expressions beginning &#039;O____ C____&#039;,BJ CTCD,OBJECT CODE
https://ocdb.cc/episode/mathematicians-v-wordsmiths/,Quest objects,GL DNF LC,GOLDEN FLEECE
https://ocdb.cc/episode/mathematicians-v-wordsmiths/,Quest objects,PHLS PH RSS TN,PHILOSOPHER&#039;S STONE
https://ocdb.cc/episode/mathematicians-v-wordsmiths/,Quest objects,NRN G,ONE RING
https://ocdb.cc/episode/mathematicians-v-wordsmiths/,Quest objects,MLT SFL CN,MALTESE FALCON
https://ocdb.cc/episode/mathematicians-v-wordsmiths/,Famous newspaper headlines,DW YD FTST RMN,DEWEY DEFEATS TRUMAN
https://ocdb.cc/episode/mathematicians-v-wordsmiths/,Famous newspaper headlines,CRS SWH TCR SS,"CRISIS, WHAT CRISIS?"
https://ocdb.cc/episode/mathematicians-v-wordsmiths/,Famous newspaper headlines,HLD NDL DND LD,HE LIED AND LIED AND LIED
https://ocdb.cc/episode/mathematicians-v-wordsmiths/,Famous newspaper headlines,FR DD STR RTM YHM STR,FREDDIE STAR ATE MY HAMSTER
https://ocdb.cc/episode/mathematicians-v-wordsmiths/,Nobel Peace Prize winners,LC HWL S,LECH WALESA
https://ocdb.cc/episode/mathematicians-v-wordsmiths/,Nobel Peace Prize winners,NTDN TN SPCKPN GFR CS,UNITED NATIONS PEACEKEEPING FORCES
https://ocdb.cc/episode/mathematicians-v-wordsmiths/,Nobel Peace Prize winners,LGR,AL GORE
https://ocdb.cc/episode/mathematicians-v-wordsmiths/,Nobel Peace Prize winners,M NS TYN TRNT NL,AMNESTY INTERNATIONAL
https://ocdb.cc/episode/mathematicians-v-wordsmiths/,Social Dances,PSDB L,PASO DOBLE
https://ocdb.cc/episode/mathematicians-v-wordsmiths/,Social Dances,S TCS TS WNG,EAST COAST SWING
https://ocdb.cc/episode/history-boys-v-rugby-boys/,They have US states in their name,TNNS SWL LMS,TENNESSEE WILLIAMS
https://ocdb.cc/episode/history-boys-v-rugby-boys/,They have US states in their name,VR GNW LF,VIRGINIA WOOLF
https://ocdb.cc/episode/history-boys-v-rugby-boys/,They have US states in their name,GR GK FF,GEORGIA O&#039;KEEFFE
https://ocdb.cc/episode/history-boys-v-rugby-boys/,They have US states in their name,RB RTN DN,ROBERT INDIANA
https://ocdb.cc/episode/history-boys-v-rugby-boys/,John Steinbeck books,FMCN DMN,OF MICE AND MEN
https://ocdb.cc/episode/history-boys-v-rugby-boys/,John Steinbeck books,STF DN,EAST OF EDEN
https://ocdb.cc/episode/history-boys-v-rugby-boys/,John Steinbeck books,NDB SBT TL,IN DUBIOUS BATTLE
https://ocdb.cc/episode/history-boys-v-rugby-boys/,John Steinbeck books,THR DPNY,THE RED PONY
https://ocdb.cc/episode/history-boys-v-rugby-boys/,Stock market terminology,BRM RKT,BEAR MARKET
